date,open,high,low,close,adj close,volume,run_max,90_percent_of_run_max,Correction,80_percent_of_run_max,Bear,200D_average,Bull
2020-07-06,3155.29,3182.59,3155.29,3179.72,3179.72,4759160000.0,3179.72,2861.748,False,2543.776,False,3179.72,False
2020-07-07,3166.44,3184.15,3142.93,3145.32,3145.32,4571330000.0,3179.72,2861.748,False,2543.776,False,3162.52,False
2020-07-08,3153.07,3171.8,3136.53,3169.94,3169.94,4937310000.0,3179.72,2861.748,False,2543.776,False,3164.9933333333333,True
2020-07-09,3176.17,3179.78,3115.7,3152.05,3152.05,4843650000.0,3179.72,2861.748,False,2543.776,False,3161.7575,False
2020-07-10,3152.47,3186.82,3136.22,3185.04,3185.04,4524190000.0,3185.04,2866.536,False,2548.032,False,3166.4139999999998,True
2020-07-13,3205.08,3235.32,3149.43,3155.22,3155.22,4902440000.0,3185.04,2866.536,False,2548.032,False,3164.5483333333336,False
2020-07-14,3141.11,3200.95,3127.66,3197.52,3197.52,4507140000.0,3197.52,2877.768,False,2558.016,False,3169.2585714285715,True
2020-07-15,3225.98,3238.28,3200.76,3226.56,3226.56,4686830000.0,3226.56,2903.904,False,2581.248,False,3176.42125,True
2020-07-16,3208.36,3220.39,3198.59,3215.57,3215.57,3972860000.0,3226.56,2903.904,False,2581.248,False,3180.771111111111,True
2020-07-17,3224.21,3233.52,3205.65,3224.73,3224.73,4012850000.0,3226.56,2903.904,False,2581.248,False,3185.167,True
2020-07-20,3224.29,3258.61,3215.16,3251.84,3251.84,3979340000.0,3251.84,2926.6560000000004,False,2601.472,False,3191.228181818182,True
2020-07-21,3268.52,3277.29,3247.77,3257.3,3257.3,4556610000.0,3257.3,2931.57,False,2605.84,False,3196.7341666666666,True
2020-07-22,3254.86,3279.32,3253.1,3276.02,3276.02,4267160000.0,3276.02,2948.418,False,2620.8160000000003,False,3202.833076923077,True
2020-07-23,3271.64,3279.99,3222.66,3235.66,3235.66,4296760000.0,3276.02,2948.418,False,2620.8160000000003,False,3205.177857142857,True
2020-07-24,3218.58,3227.26,3200.05,3215.63,3215.63,3689410000.0,3276.02,2948.418,False,2620.8160000000003,False,3205.874666666667,True
2020-07-27,3219.84,3241.43,3214.25,3239.41,3239.41,3970310000.0,3276.02,2948.418,False,2620.8160000000003,False,3207.970625,True
2020-07-28,3234.27,3243.72,3216.17,3218.44,3218.44,4053180000.0,3276.02,2948.418,False,2620.8160000000003,False,3208.5864705882354,True
2020-07-29,3227.22,3264.74,3227.22,3258.44,3258.44,4478200000.0,3276.02,2948.418,False,2620.8160000000003,False,3211.356111111111,True
2020-07-30,3231.76,3250.92,3204.13,3246.22,3246.22,4264920000.0,3276.02,2948.418,False,2620.8160000000003,False,3213.1910526315787,True
2020-07-31,3270.45,3272.17,3220.26,3271.12,3271.12,5007530000.0,3276.02,2948.418,False,2620.8160000000003,False,3216.0875,True
2020-08-03,3288.26,3302.73,3284.53,3294.61,3294.61,4438940000.0,3294.61,2965.1490000000003,False,2635.688,False,3219.826666666667,True
2020-08-04,3289.92,3306.84,3286.37,3306.51,3306.51,4414380000.0,3306.51,2975.8590000000004,False,2645.2080000000005,False,3223.766818181818,True
2020-08-05,3317.37,3330.77,3317.37,3327.77,3327.77,4535060000.0,3327.77,2994.993,False,2662.2160000000003,False,3228.288695652174,True
2020-08-06,3323.17,3351.03,3318.14,3349.16,3349.16,4278930000.0,3349.16,3014.244,False,2679.328,False,3233.3250000000003,True
2020-08-07,3340.05,3352.54,3328.72,3351.28,3351.28,4110030000.0,3351.28,3016.152,False,2681.0240000000003,False,3238.0432,True
2020-08-10,3356.04,3363.29,3335.44,3360.47,3360.47,4327920000.0,3360.47,3024.423,False,2688.376,False,3242.751923076923,True
2020-08-11,3370.34,3381.01,3326.44,3333.69,3333.69,4880540000.0,3360.47,3024.423,False,2688.376,False,3246.1200000000003,True
2020-08-12,3355.46,3387.89,3355.46,3380.35,3380.35,3772250000.0,3380.35,3042.315,False,2704.28,False,3250.9139285714286,True
2020-08-13,3372.95,3387.24,3363.35,3373.43,3373.43,3438730000.0,3380.35,3042.315,False,2704.28,False,3255.1386206896555,True
2020-08-14,3368.66,3378.51,3361.64,3372.85,3372.85,3200060000.0,3380.35,3042.315,False,2704.28,False,3259.0623333333333,True
2020-08-17,3380.86,3387.59,3379.22,3381.99,3381.99,3460330000.0,3381.99,3043.7909999999997,False,2705.592,False,3263.027741935484,True
2020-08-18,3387.04,3395.06,3370.15,3389.78,3389.78,3669550000.0,3389.78,3050.802,False,2711.8240000000005,False,3266.98875,True
2020-08-19,3392.51,3399.54,3369.66,3374.85,3374.85,3679480000.0,3389.78,3050.802,False,2711.8240000000005,False,3270.2572727272727,True
2020-08-20,3360.48,3390.8,3354.69,3385.51,3385.51,3431040000.0,3389.78,3050.802,False,2711.8240000000005,False,3273.6470588235293,True
2020-08-21,3386.01,3399.96,3379.31,3397.16,3397.16,3505010000.0,3397.16,3057.444,False,2717.728,False,3277.176,True
2020-08-24,3418.09,3432.09,3413.13,3431.28,3431.28,3743410000.0,3431.28,3088.152,False,2745.0240000000003,False,3281.456666666667,True
2020-08-25,3435.95,3444.21,3425.84,3443.62,3443.62,3627650000.0,3443.62,3099.258,False,2754.896,False,3285.8394594594592,True
2020-08-26,3449.97,3481.07,3444.15,3478.73,3478.73,3780530000.0,3478.73,3130.857,False,2782.9840000000004,False,3290.9155263157895,True
2020-08-27,3485.14,3501.38,3468.35,3484.55,3484.55,3955890000.0,3484.55,3136.0950000000003,False,2787.6400000000003,False,3295.8805128205126,True
2020-08-28,3494.69,3509.23,3484.32,3508.01,3508.01,3868510000.0,3508.01,3157.2090000000003,False,2806.4080000000004,False,3301.18375,True
2020-08-31,3509.73,3514.77,3493.25,3500.31,3500.31,4348280000.0,3508.01,3157.2090000000003,False,2806.4080000000004,False,3306.040487804878,True
2020-09-01,3507.44,3528.03,3494.6,3526.65,3526.65,4101490000.0,3526.65,3173.985,False,2821.32,False,3311.2930952380952,True
2020-09-02,3543.76,3588.11,3535.23,3580.84,3580.84,4295640000.0,3580.84,3222.7560000000003,False,2864.6720000000005,False,3317.561627906977,True
2020-09-03,3564.74,3564.85,3427.41,3455.06,3455.06,4911830000.0,3580.84,3222.7560000000003,False,2864.6720000000005,False,3320.6865909090907,True
2020-09-04,3453.6,3479.15,3349.63,3426.96,3426.96,4438720000.0,3580.84,3222.7560000000003,False,2864.6720000000005,False,3323.0482222222226,True
2020-09-08,3371.88,3379.97,3329.27,3331.84,3331.84,4694330000.0,3580.84,3222.7560000000003,False,2864.6720000000005,False,3323.239347826087,True
2020-09-09,3369.82,3424.77,3366.84,3398.96,3398.96,3932520000.0,3580.84,3222.7560000000003,False,2864.6720000000005,False,3324.850425531915,True
2020-09-10,3412.56,3425.55,3329.25,3339.19,3339.19,4208630000.0,3580.84,3222.7560000000003,False,2864.6720000000005,False,3325.1491666666666,True
2020-09-11,3352.7,3368.95,3310.47,3340.97,3340.97,3710090000.0,3580.84,3222.7560000000003,False,2864.6720000000005,False,3325.4720408163266,True
